celery-worker-1  | [2026-01-29 05:49:00,024: INFO/MainProcess] [QUEUE] get_next_tasks called with limit=5
celery-worker-1  | [2026-01-29 05:49:01,345: INFO/ForkPoolWorker-1] [pipeline_4001fc0f46fd:GEN] Processing generation stage: status=in_progress, completed=158/240, failed=17
celery-worker-1  | [2026-01-29 05:49:04,350: INFO/ForkPoolWorker-1] [pipeline_4001fc0f46fd:GEN] Processing generation stage: status=in_progress, completed=158/240, failed=17
celery-worker-1  | [2026-01-29 05:49:05,027: INFO/MainProcess] [QUEUE] get_next_tasks called with limit=5
celery-worker-1  | [2026-01-29 05:49:07,355: INFO/ForkPoolWorker-1] [pipeline_4001fc0f46fd:GEN] Processing generation stage: status=in_progress, completed=158/240, failed=17
celery-worker-1  | [2026-01-29 05:49:10,034: INFO/MainProcess] [QUEUE] get_next_tasks called with limit=5
celery-worker-1  | [2026-01-29 05:49:10,360: INFO/ForkPoolWorker-1] [pipeline_4001fc0f46fd:GEN] Processing generation stage: status=in_progress, completed=158/240, failed=17
celery-worker-1  | [2026-01-29 05:49:13,365: INFO/ForkPoolWorker-1] [pipeline_4001fc0f46fd:GEN] Processing generation stage: status=in_progress, completed=158/240, failed=17
celery-worker-1  | [2026-01-29 05:49:15,041: INFO/MainProcess] [QUEUE] get_next_tasks called with limit=5
celery-worker-1  | [2026-01-29 05:49:16,371: INFO/ForkPoolWorker-1] [pipeline_4001fc0f46fd:GEN] Processing generation stage: status=in_progress, completed=158/240, failed=17
celery-worker-1  | [2026-01-29 05:49:19,376: INFO/ForkPoolWorker-1] [pipeline_4001fc0f46fd:GEN] Processing generation stage: status=in_progress, completed=158/240, failed=17
celery-worker-1  | [2026-01-29 05:49:20,048: INFO/MainProcess] [QUEUE] get_next_tasks called with limit=5
celery-worker-1  | [2026-01-29 05:49:22,381: INFO/ForkPoolWorker-1] [pipeline_4001fc0f46fd:GEN] Processing generation stage: status=in_progress, completed=158/240, failed=17
celery-worker-1  | [2026-01-29 05:49:25,054: INFO/MainProcess] [QUEUE] get_next_tasks called with limit=5
celery-worker-1  | [2026-01-29 05:49:25,386: INFO/ForkPoolWorker-1] [pipeline_4001fc0f46fd:GEN] Processing generation stage: status=in_progress, completed=158/240, failed=17
celery-worker-1  | [2026-01-29 05:49:28,389: INFO/ForkPoolWorker-1] [pipeline_4001fc0f46fd:GEN] Processing generation stage: status=in_progress, completed=158/240, failed=17
celery-worker-1  | [2026-01-29 05:49:30,061: INFO/MainProcess] [QUEUE] get_next_tasks called with limit=5
celery-worker-1  | [2026-01-29 05:49:31,394: INFO/ForkPoolWorker-1] [pipeline_4001fc0f46fd:GEN] Processing generation stage: status=in_progress, completed=158/240, failed=17
celery-worker-1  | [2026-01-29 05:49:34,399: INFO/ForkPoolWorker-1] [pipeline_4001fc0f46fd:GEN] Processing generation stage: status=in_progress, completed=158/240, failed=17
celery-worker-1  | [2026-01-29 05:49:35,068: INFO/MainProcess] [QUEUE] get_next_tasks called with limit=5
celery-worker-1  | [2026-01-29 05:49:37,404: INFO/ForkPoolWorker-1] [pipeline_4001fc0f46fd:GEN] Processing generation stage: status=in_progress, completed=158/240, failed=17
celery-worker-1  | [2026-01-29 05:49:40,075: INFO/MainProcess] [QUEUE] get_next_tasks called with limit=5
celery-worker-1  | [2026-01-29 05:49:40,409: INFO/ForkPoolWorker-1] [pipeline_4001fc0f46fd:GEN] Processing generation stage: status=in_progress, completed=158/240, failed=17
celery-worker-1  | [2026-01-29 05:49:43,411: INFO/ForkPoolWorker-1] [pipeline_4001fc0f46fd:GEN] Processing generation stage: status=in_progress, completed=158/240, failed=17
celery-worker-1  | [2026-01-29 05:49:45,081: INFO/MainProcess] [QUEUE] get_next_tasks called with limit=5
celery-worker-1  | [2026-01-29 05:49:46,416: INFO/ForkPoolWorker-1] [pipeline_4001fc0f46fd:GEN] Processing generation stage: status=in_progress, completed=158/240, failed=17
celery-worker-1  | [2026-01-29 05:49:49,421: INFO/ForkPoolWorker-1] [pipeline_4001fc0f46fd:GEN] Processing generation stage: status=in_progress, completed=158/240, failed=17
celery-worker-1  | [2026-01-29 05:49:50,084: INFO/MainProcess] [QUEUE] get_next_tasks called with limit=5
celery-worker-1  | [2026-01-29 05:49:52,426: INFO/ForkPoolWorker-1] [pipeline_4001fc0f46fd:GEN] Processing generation stage: status=in_progress, completed=158/240, failed=17
celery-worker-1  | [2026-01-29 05:49:55,091: INFO/MainProcess] [QUEUE] get_next_tasks called with limit=5
celery-worker-1  | [2026-01-29 05:49:55,429: INFO/ForkPoolWorker-1] [pipeline_4001fc0f46fd:GEN] Processing generation stage: status=in_progress, completed=158/240, failed=17
