web-1  | [05:47:04] INFO     werkzeug             37.30.61.112 - - [29/Jan/2026 05:47:04] "POST /api/apps/bulk-status HTTP/1.1" 200 -
web-1  | [05:47:04] INFO     factory              ✓ POST /api/apps/bulk-status → 200 (729ms)
web-1  | [05:47:09] INFO     factory              [GROUPED] ✓ GET /applications/table → 200 (99ms) (repeated 2x in 60s)
web-1  | [05:47:09] INFO     werkzeug             37.30.61.112 - - [29/Jan/2026 05:47:09] "GET /applications/table?per_page=25&page=7 HTTP/1.1" 200 -
web-1  | [05:47:11] INFO     factory              ✓ POST /api/apps/bulk-status → 200 (1130ms)
web-1  | [05:47:11] INFO     factory              ✓ POST /api/apps/bulk-status → 200 (1126ms)
web-1  | [05:47:11] INFO     werkzeug             37.30.61.112 - - [29/Jan/2026 05:47:11] "POST /api/apps/bulk-status HTTP/1.1" 200 -
web-1  | [05:47:11] INFO     factory              ✓ POST /api/apps/bulk-status → 200 (1128ms)
web-1  | [05:47:11] INFO     factory              ✓ POST /api/apps/bulk-status → 200 (775ms)
web-1  | [05:47:12] INFO     factory              ✓ POST /api/apps/bulk-status → 200 (29ms)
web-1  | [05:47:12] INFO     werkzeug             37.30.61.112 - - [29/Jan/2026 05:47:12] "POST /api/apps/bulk-status HTTP/1.1" 200 -
web-1  | [05:47:15] INFO     factory              ✓ GET /applications/table → 200 (105ms)
web-1  | [05:47:15] INFO     werkzeug             37.30.61.112 - - [29/Jan/2026 05:47:15] "GET /applications/table?per_page=25&page=8 HTTP/1.1" 200 -
web-1  | [05:47:16] INFO     factory              ✓ POST /api/apps/bulk-status → 200 (1322ms)
web-1  | [05:47:16] INFO     factory              ✓ POST /api/apps/bulk-status → 200 (1314ms)
web-1  | [05:47:16] INFO     factory              ✓ POST /api/apps/bulk-status → 200 (1319ms)
web-1  | [05:47:16] INFO     werkzeug             37.30.61.112 - - [29/Jan/2026 05:47:16] "POST /api/apps/bulk-status HTTP/1.1" 200 -
web-1  | [05:47:16] INFO     factory              ✓ POST /api/apps/bulk-status → 200 (1315ms)
web-1  | [05:47:16] INFO     factory              ✓ POST /api/apps/bulk-status → 200 (957ms)
web-1  | [05:47:25] INFO     task_service         [GROUPED] [QUEUE] get_next_tasks called with limit=5 (repeated 13x in 60s)
web-1  | [05:47:25] INFO     werkzeug             127.0.0.1 - - [29/Jan/2026 05:47:25] "GET /health HTTP/1.1" 200 -
web-1  | [05:47:28] INFO     factory              ✓ GET /applications/table → 200 (102ms)
web-1  | [05:47:28] INFO     werkzeug             37.30.61.112 - - [29/Jan/2026 05:47:28] "GET /applications/table?per_page=25&page=1 HTTP/1.1" 200 -
web-1  | [05:47:29] INFO     factory              ✓ POST /api/apps/bulk-status → 200 (694ms)
web-1  | [05:47:29] INFO     factory              ✓ POST /api/apps/bulk-status → 200 (677ms)
web-1  | [05:47:29] INFO     werkzeug             37.30.61.112 - - [29/Jan/2026 05:47:29] "POST /api/apps/bulk-status HTTP/1.1" 200 -
web-1  | [05:47:29] INFO     factory              ✓ POST /api/apps/bulk-status → 200 (682ms)
web-1  | [05:47:29] INFO     factory              ✓ POST /api/apps/bulk-status → 200 (680ms)
web-1  | [05:47:29] INFO     factory              ✓ POST /api/apps/bulk-status → 200 (491ms)
web-1  | [05:47:29] INFO     factory              ✓ POST /api/apps/bulk-status → 200 (489ms)
web-1  | [05:47:29] INFO     factory              ✓ POST /api/apps/bulk-status → 200 (271ms)
web-1  | [05:47:30] INFO     task_service         [QUEUE] get_next_tasks called with limit=5
web-1  | [05:47:31] INFO     factory              ✓ GET /reports/ → 200 (19ms)
web-1  | [05:47:31] INFO     werkzeug             37.30.61.112 - - [29/Jan/2026 05:47:31] "GET /reports/ HTTP/1.1" 200 -
web-1  | [05:47:37] INFO     factory              ✓ GET /sample-generator/ → 200 (51ms)
web-1  | [05:47:37] INFO     werkzeug             37.30.61.112 - - [29/Jan/2026 05:47:37] "GET /sample-generator/ HTTP/1.1" 200 -
web-1  | [05:47:37] INFO     factory              ✓ GET /static/js/sample_generator_wizard.js → 200 (0ms)
web-1  | [05:47:42] INFO     factory              ✓ GET /sample-generator/ → 200 (23ms)
